route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Philadelphia-Houston,road,Philadelphia,Houston,39.9527237,-75.1635262,29.7589382,-95.3676974,2490.9896,28.7055,298.918752,124.54948
Philadelphia-Phoenix,road,Philadelphia,Phoenix,39.9527237,-75.1635262,33.4484367,-112.074141,3774.4088,42.59169444444444,452.929056,188.72044
Philadelphia-San Antonio,road,Philadelphia,San Antonio,39.9527237,-75.1635262,29.4246002,-98.4951405,2801.9627,31.689138888888888,336.235524,140.098135
Philadelphia-San Diego,road,Philadelphia,San Diego,39.9527237,-75.1635262,32.7174202,-117.162772,4403.579900000001,49.00222222222222,528.4295880000001,220.17899500000004
Philadelphia-Dallas,road,Philadelphia,Dallas,39.9527237,-75.1635262,32.7762719,-96.7968559,2363.5185,26.840138888888887,283.62222,118.175925
Philadelphia-San Jose,road,Philadelphia,San Jose,39.9527237,-75.1635262,37.3361663,-121.890591,4681.7168,51.01636111111111,561.806016,234.08584
Philadelphia-Austin,road,Philadelphia,Austin,39.9527237,-75.1635262,30.2711286,-97.7436995,2676.0163,30.232666666666667,321.12195599999995,133.800815
Philadelphia-Jacksonville,road,Philadelphia,Jacksonville,39.9527237,-75.1635262,30.3321838,-81.655651,1366.857,16.019305555555555,164.02284,68.34285
Philadelphia-Fort Worth,road,Philadelphia,Fort Worth,39.9527237,-75.1635262,32.753177,-97.3327459,2414.8848,27.47733333333333,289.78617599999995,120.74424
Philadelphia-Columbus,road,Philadelphia,Columbus,39.9527237,-75.1635262,39.9622601,-83.0007065,755.9211,8.985527777777778,90.710532,37.796055
Philadelphia-Charlotte,road,Philadelphia,Charlotte,39.9527237,-75.1635262,35.2272086,-80.8430827,863.3838000000001,10.570416666666668,103.606056,43.16919000000001
Philadelphia-San Francisco,road,Philadelphia,San Francisco,39.9527237,-75.1635262,37.7792588,-122.4193286,4633.6673,50.474500000000006,556.040076,231.683365
Philadelphia-Indianapolis,road,Philadelphia,Indianapolis,39.9527237,-75.1635262,39.7683331,-86.1583502,1037.1776,12.219888888888889,124.461312,51.85888
Philadelphia-Seattle,road,Philadelphia,Seattle,39.9527237,-75.1635262,47.6038321,-122.330062,4517.4838,49.92575,542.0980559999999,225.87419
Philadelphia-Denver,road,Philadelphia,Denver,39.9527237,-75.1635262,39.7392364,-104.984862,2815.5863,31.37547222222222,337.870356,140.779315
Philadelphia-Washington,road,Philadelphia,Washington,39.9527237,-75.1635262,38.8950368,-77.0365427,224.9361,3.0344722222222225,26.992332,11.246805000000002
Philadelphia-Boston,road,Philadelphia,Boston,39.9527237,-75.1635262,42.3554334,-71.060511,489.0874,6.40375,58.690488,24.45437
Philadelphia-El Paso,road,Philadelphia,El Paso,39.9527237,-75.1635262,31.7601164,-106.4870404,3385.3548,37.48575,406.242576,169.26774
Philadelphia-Nashville,road,Philadelphia,Nashville,39.9527237,-75.1635262,36.1622767,-86.7742984,1293.0717,15.047305555555557,155.168604,64.653585
Philadelphia-Detroit,road,Philadelphia,Detroit,39.9527237,-75.1635262,42.3315509,-83.0466403,940.3088,10.79111111111111,112.837056,47.015440000000005
